Estatus Legal,Ubicación,Genero,Grupo Etario,Edad,País de Origen,Estado Civil
OTRO DE INTERÉS,1,1,0,9,12,4
OTRO DE INTERÉS,1,1,0,6,12,2
OTRO DE INTERÉS,3,1,3,40,12,4
OTRO DE INTERÉS,5,0,2,25,12,4
OTRO DE INTERÉS,5,0,0,4,12,4
OTRO DE INTERÉS,0,0,0,3,66,4
OTRO DE INTERÉS,0,1,0,3,66,4
SOLICITANTE DE ASILO,5,0,3,42,12,4
SOLICITANTE DE ASILO,5,1,2,19,12,4
OTRO DE INTERÉS,2,0,2,19,12,2
NO DE INTERÉS,2,1,2,24,56,2
OTRO DE INTERÉS,2,1,3,43,66,4
SOLICITANTE DE ASILO,5,1,3,32,12,0
SOLICITANTE DE ASILO,2,1,3,33,56,2
SOLICITANTE DE ASILO,5,0,3,32,12,0
SOLICITANTE DE ASILO,5,1,0,10,12,4
SOLICITANTE DE ASILO,5,0,0,5,12,4
SOLICITANTE DE ASILO,2,0,2,23,56,2
OTRO DE INTERÉS,2,0,2,29,66,2
OTRO DE INTERÉS,2,1,3,31,66,2
OTRO DE INTERÉS,2,0,2,26,66,2
OTRO DE INTERÉS,2,1,3,56,66,2
OTRO DE INTERÉS,3,0,3,34,12,5
OTRO DE INTERÉS,3,1,0,8,12,4
SOLICITANTE DE ASILO,6,1,1,12,12,4
SOLICITANTE DE ASILO,6,0,0,8,12,4
SOLICITANTE DE ASILO,5,0,3,41,12,5
SOLICITANTE DE ASILO,5,1,3,37,12,2
SOLICITANTE DE ASILO,5,1,1,17,12,4
SOLICITANTE DE ASILO,5,1,0,10,12,2
SOLICITANTE DE ASILO,5,1,0,6,12,4
OTRO DE INTERÉS,1,0,2,21,66,2
OTRO DE INTERÉS,1,1,2,25,66,5
OTRO DE INTERÉS,1,1,0,0,66,2
SOLICITANTE DE ASILO,3,1,3,52,12,0
SOLICITANTE DE ASILO,3,0,3,40,12,0
SOLICITANTE DE ASILO,3,0,1,17,12,4
SOLICITANTE DE ASILO,3,1,1,12,12,2
SOLICITANTE DE ASILO,3,0,2,24,12,4
OTRO DE INTERÉS,1,0,2,28,12,2
SOLICITANTE DE ASILO,3,0,2,21,12,4
SOLICITANTE DE ASILO,3,0,4,71,12,4
OTRO DE INTERÉS,1,1,0,10,12,2
OTRO DE INTERÉS,1,0,0,9,12,2
OTRO DE INTERÉS,1,0,0,2,12,2
NO DE INTERÉS,2,1,3,43,66,5
SOLICITANTE DE ASILO,9,0,3,31,12,4
SOLICITANTE DE ASILO,9,1,0,9,12,4
OTRO DE INTERÉS,2,0,2,26,66,4
NO DE INTERÉS,2,1,0,5,66,4
OTRO DE INTERÉS,2,0,0,9,66,2
OTRO DE INTERÉS,2,1,3,35,66,2
NO DE INTERÉS,9,0,3,55,13,4
NO DE INTERÉS,2,0,0,8,66,4
SOLICITANTE DE ASILO,9,1,3,49,12,4
OTRO DE INTERÉS,2,0,2,30,12,4
OTRO DE INTERÉS,2,1,3,32,12,5
OTRO DE INTERÉS,2,0,3,39,12,2
OTRO DE INTERÉS,2,0,2,18,66,5
OTRO DE INTERÉS,5,1,3,46,15,4
OTRO DE INTERÉS,2,1,2,21,66,2
OTRO DE INTERÉS,2,0,2,25,66,2
OTRO DE INTERÉS,2,1,0,2,66,2
OTRO DE INTERÉS,2,0,0,4,66,2
OTRO DE INTERÉS,5,0,0,9,12,4
OTRO DE INTERÉS,1,1,2,29,12,2
OTRO DE INTERÉS,2,1,2,24,66,5
OTRO DE INTERÉS,1,1,3,42,66,2
OTRO DE INTERÉS,0,0,3,42,12,5
OTRO DE INTERÉS,0,1,2,26,12,5
OTRO DE INTERÉS,0,1,1,16,12,4
OTRO DE INTERÉS,1,0,2,24,66,2
OTRO DE INTERÉS,1,1,0,7,66,2
OTRO DE INTERÉS,1,0,0,1,66,2
REFUGIADO,1,0,3,33,12,2
REFUGIADO,1,1,3,34,12,2
REFUGIADO,1,1,1,15,12,2
REFUGIADO,1,0,1,13,12,2
REFUGIADO,1,1,0,2,12,2
OTRO DE INTERÉS,6,0,2,26,11,2
OTRO DE INTERÉS,2,1,3,54,66,4
OTRO DE INTERÉS,2,1,2,21,66,2
OTRO DE INTERÉS,2,1,0,7,66,2
OTRO DE INTERÉS,5,1,3,34,12,0
OTRO DE INTERÉS,2,1,3,32,66,0
OTRO DE INTERÉS,5,0,3,32,12,0
OTRO DE INTERÉS,2,1,3,51,66,2
OTRO DE INTERÉS,5,1,0,1,12,2
OTRO DE INTERÉS,0,0,2,21,66,4
OTRO DE INTERÉS,2,1,2,20,66,4
OTRO DE INTERÉS,0,0,0,3,12,4
OTRO DE INTERÉS,0,0,0,5,12,4
OTRO DE INTERÉS,2,0,2,29,66,4
OTRO DE INTERÉS,5,1,3,45,66,5
OTRO DE INTERÉS,1,1,2,21,12,4
OTRO DE INTERÉS,5,0,4,65,12,5
OTRO DE INTERÉS,2,0,2,30,66,5
OTRO DE INTERÉS,2,0,3,52,66,4
NO DE INTERÉS,9,1,3,46,12,4
OTRO DE INTERÉS,2,1,2,27,66,2
OTRO DE INTERÉS,2,0,1,13,66,2
OTRO DE INTERÉS,0,0,2,27,66,4
OTRO DE INTERÉS,0,1,0,5,66,4
OTRO DE INTERÉS,5,0,3,56,12,4
NO DE INTERÉS,9,1,1,16,12,2
SOLICITANTE DE ASILO,0,0,3,35,66,4
OTRO DE INTERÉS,2,1,2,20,66,4
OTRO DE INTERÉS,5,0,3,31,12,4
OTRO DE INTERÉS,2,0,2,29,66,2
SOLICITANTE DE ASILO,1,0,2,29,12,5
OTRO DE INTERÉS,2,0,3,33,66,2
OTRO DE INTERÉS,2,1,0,1,66,2
NO DE INTERÉS,9,1,2,27,12,2
SOLICITANTE DE ASILO,1,1,3,34,12,5
SOLICITANTE DE ASILO,0,0,0,7,66,4
SOLICITANTE DE ASILO,0,1,3,37,66,4
NO DE INTERÉS,9,0,3,41,12,2
SOLICITANTE DE ASILO,2,1,3,42,12,4
SOLICITANTE DE ASILO,1,0,0,1,12,2
OTRO DE INTERÉS,2,1,3,34,66,4
NO DE INTERÉS,9,0,0,5,12,2
SOLICITANTE DE ASILO,5,1,2,22,66,5
OTRO DE INTERÉS,2,0,2,24,66,2
OTRO DE INTERÉS,2,1,0,2,66,2
OTRO DE INTERÉS,1,0,2,23,66,2
NO DE INTERÉS,9,1,2,25,12,5
NO DE INTERÉS,5,1,3,50,64,4
OTRO DE INTERÉS,1,0,0,7,66,2
NO DE INTERÉS,9,0,2,22,66,5
SOLICITANTE DE ASILO,5,0,2,20,66,5
OTRO DE INTERÉS,1,0,0,9,66,2
SOLICITANTE DE ASILO,5,0,0,3,66,4
SOLICITANTE DE ASILO,3,1,4,66,12,1
NO DE INTERÉS,1,0,3,37,66,2
SOLICITANTE DE ASILO,3,1,2,29,12,4
SOLICITANTE DE ASILO,3,1,3,42,12,4
SOLICITANTE DE ASILO,5,0,3,33,66,2
SOLICITANTE DE ASILO,3,0,2,28,12,4
SOLICITANTE DE ASILO,3,1,0,3,12,2
OTRO DE INTERÉS,3,0,2,24,12,4
OTRO DE INTERÉS,3,1,2,28,12,2
OTRO DE INTERÉS,3,0,0,7,12,2
OTRO DE INTERÉS,3,1,0,2,12,2
OTRO DE INTERÉS,1,0,3,50,12,2
SOLICITANTE DE ASILO,5,1,2,18,12,4
OTRO DE INTERÉS,2,1,3,38,12,4
OTRO DE INTERÉS,2,0,3,43,66,4
OTRO DE INTERÉS,2,0,1,17,66,2
OTRO DE INTERÉS,2,0,3,35,66,2
OTRO DE INTERÉS,2,1,3,31,66,2
OTRO DE INTERÉS,2,0,3,32,66,2
SOLICITANTE DE ASILO,5,0,3,32,12,4
SOLICITANTE DE ASILO,5,1,0,5,12,4
OTRO DE INTERÉS,2,1,0,7,66,2
OTRO DE INTERÉS,2,1,0,2,66,2
SOLICITANTE DE ASILO,5,1,1,16,12,4
SOLICITANTE DE ASILO,5,1,1,14,12,4
OTRO DE INTERÉS,2,1,3,53,66,4
SOLICITANTE DE ASILO,2,0,2,30,15,4
OTRO DE INTERÉS,1,0,3,40,12,5
OTRO DE INTERÉS,2,1,3,31,66,4
OTRO DE INTERÉS,2,1,3,32,15,4
OTRO DE INTERÉS,1,0,1,16,12,2
OTRO DE INTERÉS,1,1,0,8,12,2
OTRO DE INTERÉS,2,0,3,48,66,4
OTRO DE INTERÉS,2,1,3,32,66,4
OTRO DE INTERÉS,2,1,1,17,66,2
OTRO DE INTERÉS,5,1,3,39,15,4
OTRO DE INTERÉS,1,1,2,27,12,5
OTRO DE INTERÉS,2,0,3,34,66,4
OTRO DE INTERÉS,2,1,3,31,66,2
OTRO DE INTERÉS,1,1,2,20,12,4
OTRO DE INTERÉS,2,0,1,17,66,2
OTRO DE INTERÉS,5,1,2,28,12,5
OTRO DE INTERÉS,2,1,1,16,66,2
OTRO DE INTERÉS,2,1,1,14,66,2
OTRO DE INTERÉS,5,0,2,28,12,5
OTRO DE INTERÉS,5,0,0,1,12,2
OTRO DE INTERÉS,5,0,2,25,66,5
OTRO DE INTERÉS,5,1,3,39,66,5
OTRO DE INTERÉS,5,1,0,9,66,4
OTRO DE INTERÉS,1,1,3,42,66,2
OTRO DE INTERÉS,5,1,0,4,66,4
SOLICITANTE DE ASILO,3,1,3,52,12,5
SOLICITANTE DE ASILO,3,0,3,52,12,5
OTRO DE INTERÉS,5,0,3,41,66,5
OTRO DE INTERÉS,1,0,3,33,66,5
OTRO DE INTERÉS,5,1,3,43,66,5
OTRO DE INTERÉS,1,1,1,13,66,2
OTRO DE INTERÉS,5,1,0,3,12,4
OTRO DE INTERÉS,5,1,0,1,12,4
OTRO DE INTERÉS,0,1,2,28,66,5
OTRO DE INTERÉS,0,0,3,31,66,5
OTRO DE INTERÉS,0,0,0,0,66,4
OTRO DE INTERÉS,0,0,1,13,66,4
SOLICITANTE DE ASILO,1,1,3,40,66,2
SOLICITANTE DE ASILO,0,0,3,42,12,5
SOLICITANTE DE ASILO,1,0,2,22,66,5
SOLICITANTE DE ASILO,0,1,3,41,12,5
SOLICITANTE DE ASILO,0,1,0,4,12,4
SOLICITANTE DE ASILO,1,0,0,5,66,2
SOLICITANTE DE ASILO,1,0,0,3,12,2
NO DE INTERÉS,0,0,3,32,66,4
NO DE INTERÉS,0,1,0,6,66,4
NO DE INTERÉS,0,0,0,5,66,4
NO DE INTERÉS,5,0,2,27,66,5
SOLICITANTE DE ASILO,5,1,3,45,12,5
NO DE INTERÉS,5,1,0,10,66,2
SOLICITANTE DE ASILO,1,0,2,21,12,5
SOLICITANTE DE ASILO,1,1,0,1,12,2
OTRO DE INTERÉS,9,1,3,36,12,2
OTRO DE INTERÉS,1,0,2,30,12,2
OTRO DE INTERÉS,1,1,0,6,12,2
OTRO DE INTERÉS,1,0,0,1,12,2
SOLICITANTE DE ASILO,9,0,0,10,12,4
OTRO DE INTERÉS,1,1,2,25,12,4
SOLICITANTE DE ASILO,9,1,1,15,12,4
OTRO DE INTERÉS,1,0,3,42,12,2
OTRO DE INTERÉS,1,1,3,44,12,2
OTRO DE INTERÉS,5,0,3,33,66,2
OTRO DE INTERÉS,1,0,1,13,12,4
OTRO DE INTERÉS,5,1,1,12,66,2
OTRO DE INTERÉS,1,1,3,55,12,2
OTRO DE INTERÉS,1,0,3,31,12,2
SOLICITANTE DE ASILO,3,0,3,41,12,4
SOLICITANTE DE ASILO,3,1,3,33,12,4
OTRO DE INTERÉS,1,0,3,38,12,2
SOLICITANTE DE ASILO,3,0,2,23,12,4
SOLICITANTE DE ASILO,3,1,0,0,12,2
SOLICITANTE DE ASILO,5,1,3,35,15,2
OTRO DE INTERÉS,2,0,2,28,66,2
OTRO DE INTERÉS,0,0,2,26,66,4
OTRO DE INTERÉS,2,0,2,28,66,2
OTRO DE INTERÉS,0,1,3,38,66,4
OTRO DE INTERÉS,0,1,0,9,50,4
SOLICITANTE DE ASILO,5,0,3,31,15,2
OTRO DE INTERÉS,0,0,0,0,50,4
SOLICITANTE DE ASILO,5,0,2,26,12,4
SOLICITANTE DE ASILO,5,0,0,8,12,4
SOLICITANTE DE ASILO,5,1,0,3,12,4
SOLICITANTE DE ASILO,1,0,3,38,12,2
SOLICITANTE DE ASILO,1,1,0,6,12,2
SOLICITANTE DE ASILO,1,1,0,11,12,2
SOLICITANTE DE ASILO,5,0,2,27,12,5
SOLICITANTE DE ASILO,5,0,0,7,12,4
SOLICITANTE DE ASILO,5,0,0,3,12,4
SOLICITANTE DE ASILO,5,1,3,31,12,5
SOLICITANTE DE ASILO,1,1,2,23,12,2
OTRO DE INTERÉS,9,0,2,23,12,2
OTRO DE INTERÉS,9,0,0,8,12,4
OTRO DE INTERÉS,9,0,0,8,12,4
SOLICITANTE DE ASILO,5,1,3,37,31,4
SOLICITANTE DE ASILO,3,1,3,32,12,4
SOLICITANTE DE ASILO,3,1,2,30,12,4
OTRO DE INTERÉS,1,0,3,35,12,4
OTRO DE INTERÉS,1,1,1,16,12,4
OTRO DE INTERÉS,1,1,1,15,12,4
OTRO DE INTERÉS,1,0,0,0,12,4
OTRO DE INTERÉS,1,0,3,32,12,4
SOLICITANTE DE ASILO,3,0,2,26,12,4
SOLICITANTE DE ASILO,3,1,2,30,12,4
SOLICITANTE DE ASILO,3,0,0,9,12,4
SOLICITANTE DE ASILO,3,0,0,6,12,4
OTRO DE INTERÉS,1,0,3,36,12,4
OTRO DE INTERÉS,1,1,0,2,12,4
OTRO DE INTERÉS,3,1,2,27,12,4
OTRO DE INTERÉS,1,0,0,7,12,4
OTRO DE INTERÉS,3,0,3,32,12,2
OTRO DE INTERÉS,1,1,1,15,12,2
OTRO DE INTERÉS,1,1,1,14,12,4
OTRO DE INTERÉS,1,1,0,9,12,4
OTRO DE INTERÉS,1,1,0,11,12,4
SOLICITANTE DE ASILO,2,0,2,24,12,4
OTRO DE INTERÉS,5,0,3,36,12,5
OTRO DE INTERÉS,5,1,3,38,12,5
OTRO DE INTERÉS,5,1,0,11,12,4
OTRO DE INTERÉS,5,1,0,5,12,4
SOLICITANTE DE ASILO,2,0,0,1,12,4
OTRO DE INTERÉS,1,0,3,57,12,4
SOLICITANTE DE ASILO,2,0,0,6,12,4
SOLICITANTE DE ASILO,9,1,3,31,12,4
OTRO DE INTERÉS,2,0,3,54,66,4
OTRO DE INTERÉS,2,0,3,31,66,2
OTRO DE INTERÉS,2,1,1,13,66,2
OTRO DE INTERÉS,5,0,3,48,15,5
OTRO DE INTERÉS,2,0,1,12,66,2
OTRO DE INTERÉS,5,1,3,58,15,5
OTRO DE INTERÉS,2,0,0,9,66,2
OTRO DE INTERÉS,2,1,0,6,66,2
OTRO DE INTERÉS,2,1,0,4,66,2
OTRO DE INTERÉS,5,1,2,18,15,4
OTRO DE INTERÉS,1,1,2,23,12,4
OTRO DE INTERÉS,5,1,2,25,66,5
OTRO DE INTERÉS,5,0,2,27,66,5
OTRO DE INTERÉS,5,1,0,6,66,2
OTRO DE INTERÉS,5,0,0,4,66,4
OTRO DE INTERÉS,5,1,0,3,12,4
OTRO DE INTERÉS,1,0,2,25,12,4
OTRO DE INTERÉS,1,0,0,1,12,4
OTRO DE INTERÉS,1,1,0,4,12,4
NO DE INTERÉS,5,0,3,32,12,4
NO DE INTERÉS,5,0,1,13,12,4
OTRO DE INTERÉS,1,1,3,37,12,2
OTRO DE INTERÉS,5,1,3,35,12,5
OTRO DE INTERÉS,5,0,2,26,12,5
OTRO DE INTERÉS,5,0,0,7,12,4
OTRO DE INTERÉS,2,1,3,40,66,5
OTRO DE INTERÉS,5,0,0,2,12,4
OTRO DE INTERÉS,5,0,0,1,12,4
OTRO DE INTERÉS,2,0,2,29,66,2
OTRO DE INTERÉS,2,0,1,12,66,2
OTRO DE INTERÉS,1,1,2,30,12,4
OTRO DE INTERÉS,2,0,0,11,66,2
OTRO DE INTERÉS,2,0,2,24,66,0
OTRO DE INTERÉS,5,1,3,37,22,4
OTRO DE INTERÉS,2,1,0,7,66,2
OTRO DE INTERÉS,2,0,0,5,66,2
OTRO DE INTERÉS,2,1,2,26,66,0
OTRO DE INTERÉS,5,1,3,32,12,5
OTRO DE INTERÉS,5,0,2,24,12,5
SOLICITANTE DE ASILO,5,1,1,15,12,4
OTRO DE INTERÉS,5,1,0,0,12,4
OTRO DE INTERÉS,2,1,3,38,12,2
OTRO DE INTERÉS,5,0,0,5,12,4
OTRO DE INTERÉS,1,0,3,37,12,0
OTRO DE INTERÉS,2,0,3,56,12,4
OTRO DE INTERÉS,2,1,3,39,15,2
OTRO DE INTERÉS,5,0,3,34,12,5
OTRO DE INTERÉS,5,1,3,32,12,5
OTRO DE INTERÉS,1,1,2,19,12,4
OTRO DE INTERÉS,5,1,0,7,12,4
OTRO DE INTERÉS,5,1,0,5,12,4
OTRO DE INTERÉS,2,0,3,44,66,4
OTRO DE INTERÉS,5,0,2,24,12,4
SOLICITANTE DE ASILO,9,0,3,33,12,2
OTRO DE INTERÉS,5,1,0,10,12,4
SOLICITANTE DE ASILO,5,1,2,20,12,4
OTRO DE INTERÉS,5,1,0,7,12,4
OTRO DE INTERÉS,5,0,2,30,12,4
OTRO DE INTERÉS,5,1,0,5,12,4
OTRO DE INTERÉS,2,1,3,52,66,2
OTRO DE INTERÉS,2,1,1,15,66,2
OTRO DE INTERÉS,2,0,2,19,66,2
OTRO DE INTERÉS,2,1,0,8,66,2
OTRO DE INTERÉS,2,1,3,39,66,2
OTRO DE INTERÉS,1,1,3,37,12,4
OTRO DE INTERÉS,3,1,3,53,12,4
OTRO DE INTERÉS,3,0,3,36,12,2
SOLICITANTE DE ASILO,0,1,3,37,12,2
SOLICITANTE DE ASILO,0,0,3,34,12,4
SOLICITANTE DE ASILO,0,0,1,15,12,4
SOLICITANTE DE ASILO,0,0,1,12,12,4
OTRO DE INTERÉS,1,0,2,23,66,5
SOLICITANTE DE ASILO,0,1,3,37,66,4
SOLICITANTE DE ASILO,0,0,0,7,66,4
OTRO DE INTERÉS,1,0,0,4,66,2
SOLICITANTE DE ASILO,0,0,0,9,66,4
OTRO DE INTERÉS,1,1,2,23,66,5
OTRO DE INTERÉS,0,0,3,36,66,5
OTRO DE INTERÉS,0,1,0,11,66,4
OTRO DE INTERÉS,0,0,0,8,66,4
SOLICITANTE DE ASILO,9,0,3,53,12,4
OTRO DE INTERÉS,5,0,3,35,66,4
OTRO DE INTERÉS,2,0,3,41,66,4
OTRO DE INTERÉS,2,1,3,45,66,2
OTRO DE INTERÉS,2,0,3,34,66,5
OTRO DE INTERÉS,2,1,3,38,66,5
OTRO DE INTERÉS,2,0,1,17,66,2
OTRO DE INTERÉS,2,1,0,7,66,2
OTRO DE INTERÉS,5,0,3,38,12,5
OTRO DE INTERÉS,5,1,3,46,12,5
OTRO DE INTERÉS,5,0,2,19,12,4
OTRO DE INTERÉS,5,1,1,15,12,2
OTRO DE INTERÉS,2,1,3,46,12,4
NO DE INTERÉS,5,0,2,26,12,5
NO DE INTERÉS,5,1,0,3,12,4
OTRO DE INTERÉS,2,0,3,40,12,4
OTRO DE INTERÉS,2,1,3,43,66,4
NO DE INTERÉS,5,1,2,22,12,5
OTRO DE INTERÉS,2,1,3,40,66,4
OTRO DE INTERÉS,5,1,3,31,66,5
OTRO DE INTERÉS,2,1,3,34,12,5
OTRO DE INTERÉS,2,0,3,31,12,2
OTRO DE INTERÉS,2,0,0,5,12,2
OTRO DE INTERÉS,2,1,0,3,12,2
NO DE INTERÉS,9,0,3,33,12,4
OTRO DE INTERÉS,5,1,2,30,12,4
OTRO DE INTERÉS,9,0,0,9,12,4
OTRO DE INTERÉS,9,0,0,7,12,4
OTRO DE INTERÉS,2,0,3,54,66,4
OTRO DE INTERÉS,5,0,3,42,15,5
OTRO DE INTERÉS,2,1,3,53,66,2
OTRO DE INTERÉS,5,0,3,33,12,5
OTRO DE INTERÉS,5,0,0,9,15,4
OTRO DE INTERÉS,5,1,3,39,12,5
OTRO DE INTERÉS,5,1,3,44,15,5
OTRO DE INTERÉS,5,1,1,15,12,4
OTRO DE INTERÉS,5,0,1,12,12,4
OTRO DE INTERÉS,5,1,3,58,12,4
OTRO DE INTERÉS,5,0,0,3,12,4
OTRO DE INTERÉS,1,0,2,25,12,4
OTRO DE INTERÉS,5,0,2,28,12,2
OTRO DE INTERÉS,5,1,2,28,12,5
OTRO DE INTERÉS,5,1,0,11,12,4
OTRO DE INTERÉS,5,0,0,7,12,4
OTRO DE INTERÉS,5,1,0,0,12,4
OTRO DE INTERÉS,5,0,0,4,12,4
OTRO DE INTERÉS,1,0,3,56,12,4
OTRO DE INTERÉS,5,0,2,30,66,5
OTRO DE INTERÉS,5,1,2,26,12,5
OTRO DE INTERÉS,5,0,2,28,12,5
OTRO DE INTERÉS,1,0,1,17,12,4
OTRO DE INTERÉS,5,0,0,9,12,4
OTRO DE INTERÉS,5,0,0,2,12,4
OTRO DE INTERÉS,5,1,2,22,12,4
OTRO DE INTERÉS,5,1,0,3,12,4
OTRO DE INTERÉS,3,1,2,26,12,4
SOLICITANTE DE ASILO,5,1,1,16,12,4
OTRO DE INTERÉS,5,1,3,32,22,4
OTRO DE INTERÉS,2,1,2,22,66,2
OTRO DE INTERÉS,2,0,1,17,66,2
OTRO DE INTERÉS,2,1,2,21,66,2
OTRO DE INTERÉS,2,0,2,18,66,2
OTRO DE INTERÉS,2,1,2,20,66,2
OTRO DE INTERÉS,2,1,2,18,66,2
OTRO DE INTERÉS,5,0,2,24,22,0
OTRO DE INTERÉS,2,0,0,0,66,2
OTRO DE INTERÉS,5,0,0,3,22,4
OTRO DE INTERÉS,2,1,2,26,66,4
OTRO DE INTERÉS,2,0,2,29,50,2
OTRO DE INTERÉS,2,0,0,2,50,2
OTRO DE INTERÉS,5,0,3,37,12,5
OTRO DE INTERÉS,2,1,3,31,31,5
OTRO DE INTERÉS,5,1,2,21,12,4
OTRO DE INTERÉS,5,0,3,33,66,5
OTRO DE INTERÉS,2,1,2,30,66,5
OTRO DE INTERÉS,5,1,3,33,66,5
OTRO DE INTERÉS,5,1,3,45,12,5
OTRO DE INTERÉS,2,0,3,36,66,2
OTRO DE INTERÉS,5,0,0,3,66,4
OTRO DE INTERÉS,5,0,0,6,66,4
OTRO DE INTERÉS,2,0,0,2,12,2
OTRO DE INTERÉS,5,1,2,20,12,4
OTRO DE INTERÉS,2,0,3,47,66,2
OTRO DE INTERÉS,5,0,1,14,12,4
OTRO DE INTERÉS,5,1,1,17,12,4
OTRO DE INTERÉS,5,0,0,5,12,4
OTRO DE INTERÉS,5,0,0,3,12,4
OTRO DE INTERÉS,5,0,2,21,66,5
OTRO DE INTERÉS,2,0,3,34,12,4
OTRO DE INTERÉS,2,1,2,30,12,2
OTRO DE INTERÉS,5,1,3,32,66,5
OTRO DE INTERÉS,2,0,0,5,12,2
OTRO DE INTERÉS,5,0,0,1,66,4
OTRO DE INTERÉS,5,1,0,3,66,4
OTRO DE INTERÉS,2,1,3,39,25,4
OTRO DE INTERÉS,5,0,4,65,12,4
OTRO DE INTERÉS,5,0,2,23,12,4
OTRO DE INTERÉS,5,1,2,29,66,5
OTRO DE INTERÉS,5,0,1,13,12,4
OTRO DE INTERÉS,5,0,2,23,66,5
OTRO DE INTERÉS,5,0,2,19,12,4
OTRO DE INTERÉS,5,0,0,0,66,4
OTRO DE INTERÉS,5,1,0,4,66,4
OTRO DE INTERÉS,5,0,3,38,66,4
OTRO DE INTERÉS,5,0,0,2,66,4
OTRO DE INTERÉS,1,1,3,55,66,4
OTRO DE INTERÉS,5,1,2,21,66,4
OTRO DE INTERÉS,5,0,3,40,66,4
OTRO DE INTERÉS,5,0,2,24,66,4
OTRO DE INTERÉS,5,0,1,14,66,4
OTRO DE INTERÉS,5,0,0,10,66,4
OTRO DE INTERÉS,1,1,2,23,12,5
OTRO DE INTERÉS,1,0,2,19,12,5
OTRO DE INTERÉS,5,0,2,29,12,4
OTRO DE INTERÉS,1,0,0,1,12,4
OTRO DE INTERÉS,5,1,1,14,12,4
OTRO DE INTERÉS,5,0,1,14,12,4
OTRO DE INTERÉS,1,0,3,32,12,4
OTRO DE INTERÉS,1,1,0,11,12,4
OTRO DE INTERÉS,1,1,0,9,12,4
OTRO DE INTERÉS,1,0,3,43,12,4
OTRO DE INTERÉS,1,0,1,13,12,2
OTRO DE INTERÉS,1,0,3,31,12,4
OTRO DE INTERÉS,1,1,0,6,12,4
OTRO DE INTERÉS,1,1,0,5,12,4
OTRO DE INTERÉS,1,1,0,10,12,4
OTRO DE INTERÉS,1,0,1,16,12,4
OTRO DE INTERÉS,1,0,0,11,12,4
OTRO DE INTERÉS,2,1,3,51,66,4
OTRO DE INTERÉS,1,0,2,28,12,4
OTRO DE INTERÉS,2,0,2,25,59,0
OTRO DE INTERÉS,1,0,0,9,12,4
OTRO DE INTERÉS,2,1,2,22,12,4
OTRO DE INTERÉS,1,0,0,0,12,4
OTRO DE INTERÉS,1,1,0,7,12,4
OTRO DE INTERÉS,2,0,2,27,12,4
OTRO DE INTERÉS,1,0,0,11,12,4
OTRO DE INTERÉS,2,1,2,29,66,4
OTRO DE INTERÉS,2,0,2,28,12,4
OTRO DE INTERÉS,2,1,0,6,12,2
OTRO DE INTERÉS,1,0,4,68,12,4
OTRO DE INTERÉS,1,0,3,46,12,5
OTRO DE INTERÉS,1,0,1,12,12,4
OTRO DE INTERÉS,2,0,3,38,66,4
OTRO DE INTERÉS,2,1,3,47,66,2
OTRO DE INTERÉS,0,1,3,53,66,4
OTRO DE INTERÉS,2,0,1,13,66,2
OTRO DE INTERÉS,0,0,3,61,66,4
SOLICITANTE DE ASILO,1,1,1,17,12,4
OTRO DE INTERÉS,2,0,2,26,66,4
OTRO DE INTERÉS,2,1,2,21,66,2
OTRO DE INTERÉS,1,1,3,31,12,5
OTRO DE INTERÉS,0,1,3,37,66,4
OTRO DE INTERÉS,2,1,3,37,66,4
OTRO DE INTERÉS,2,0,2,22,66,2
OTRO DE INTERÉS,2,0,0,0,50,2
OTRO DE INTERÉS,2,1,3,44,12,0
OTRO DE INTERÉS,2,0,3,32,66,4
OTRO DE INTERÉS,2,1,0,2,66,2
OTRO DE INTERÉS,2,1,3,60,22,0
OTRO DE INTERÉS,5,0,3,55,15,4
OTRO DE INTERÉS,5,0,2,19,15,4
SOLICITANTE DE ASILO,9,1,3,39,12,5
SOLICITANTE DE ASILO,9,0,2,30,12,5
OTRO DE INTERÉS,2,0,3,47,22,2
OTRO DE INTERÉS,2,1,2,18,22,2
SOLICITANTE DE ASILO,9,1,4,71,12,0
OTRO DE INTERÉS,2,1,1,16,22,2
OTRO DE INTERÉS,5,0,3,63,12,4
SOLICITANTE DE ASILO,9,0,1,16,12,4
OTRO DE INTERÉS,5,0,3,31,12,5
OTRO DE INTERÉS,5,1,2,30,12,5
OTRO DE INTERÉS,2,1,3,41,66,0
OTRO DE INTERÉS,5,0,0,0,12,2
SOLICITANTE DE ASILO,9,1,1,13,12,4
OTRO DE INTERÉS,2,0,2,25,66,4
OTRO DE INTERÉS,2,1,2,28,66,2
SOLICITANTE DE ASILO,9,1,0,4,12,4
OTRO DE INTERÉS,2,0,0,10,66,2
OTRO DE INTERÉS,5,1,2,26,12,4
OTRO DE INTERÉS,2,0,0,5,66,2
SOLICITANTE DE ASILO,9,1,0,1,12,4
SOLICITANTE DE ASILO,0,1,3,34,66,5
OTRO DE INTERÉS,2,0,0,2,66,2
OTRO DE INTERÉS,2,1,0,0,12,2
SOLICITANTE DE ASILO,0,0,2,23,66,4
OTRO DE INTERÉS,2,0,3,34,66,2
OTRO DE INTERÉS,2,1,1,14,66,2
OTRO DE INTERÉS,2,1,0,11,66,2
OTRO DE INTERÉS,2,1,0,9,66,2
OTRO DE INTERÉS,2,0,3,43,66,4
